order_sk,order_id,user_id,final_total_amount,finish_time,finish_time_hour
5957,"2305839394554118256	",205363,5.76,2020-05-10,23
5958,"2305840507479130313	",205366,115.72,2020-05-10,1
5968,"2305851165885071600	",205366,995.35,2020-05-10,22
5959,"2305842144633422171	",205372,62.48,2020-05-10,21
5961,"2305843516053389794	",205283,138.87,2020-05-10,21
5962,"2305843914931700232	",205364,0.23,2020-05-10,1
5963,"2305843914931700232	",205364,0.23,2020-05-10,7
5964,"2305846711886545698	",201531,67.11,2020-05-10,16
5965,"2305849333141995562	",202520,118.03,2020-05-10,3
5966,"2305849333141995562	",202520,69.42,2020-05-10,13
5967,"2305851086730166506	",203656,381.92,2020-05-10,10
5969,"2305851456592281864	",202730,231.23,2020-05-10,3
5971,"2305855402593485411	",205281,18.5,2020-05-10,22
5972,"2305857683422446413	",204321,740.72,2020-05-10,3
5973,"2305858680257512372	",205379,4.38,2020-05-10,9
5974,"2305859516282961926	",200785,203.68,2020-05-10,7
5976,"2305859861767782437	",205299,64.79,2020-05-10,21
5977,"2305861198416969901	",206717,2.29,2020-05-10,14
5978,"2305861198416969901	",206717,2.78,2020-05-10,23
5979,"2305862778671333705	",205380,32.38,2020-05-10,8
5980,"2305863313260544389	",201056,43.96,2020-05-10,3
5982,"2305864568045306350	",201274,15.95,2020-05-10,23
5983,"2305864910157906443	",205378,254.61,2020-05-10,20
5984,"2305864910157906443	",205378,127.29,2020-05-10,18
5985,"2305865382637863484	",205031,23.13,2020-05-10,3
5986,"2305865822997840492	",200814,152.52,2020-05-10,24
5987,"2305866932491911907	",201577,1828.68,2020-05-10,12
5988,"2305868823141548976	",205221,92.34,2020-05-10,15
5990,"2305869826838495236	",204990,856.46,2020-05-10,11
5991,"2305871106805858445	",205383,6.46,2020-05-10,7
5993,"2305872424656175387	",202023,173.59,2020-05-10,6
5994,"2305872461582827806	",202680,25.44,2020-05-10,18
5995,"2305872461582827806	",202680,10.86,2020-05-10,6
5996,"2305872461582827806	",202680,13.87,2020-05-10,7
5997,"2305872610128298288	",204884,57.85,2020-05-10,12
5998,"2305874584118755800	",205388,34.7,2020-05-10,17
5999,"2305874594671624668	",205305,21.97,2020-05-10,14
6000,"2305875291890778666	",204154,148.82,2020-05-10,24
6001,"2305877697835827995	",205373,509.24,2020-05-10,9
6002,"2305879522232239078	",205385,92.57,2020-05-10,6
6003,"2305880491552669773	",201275,856.23,2020-05-10,8
6419,"2306509787912733360	",201275,856.23,2020-05-11,14
6004,"2305880845895860333	",202917,2.29,2020-05-10,6
6005,"2305883479834886501	",201329,12.48,2020-05-10,14
6006,"2305885242767966747	",206710,57.85,2020-05-10,10
6007,"2305886526434706055	",200609,5.07,2020-05-10,13
6008,"2305886820614800051	",200375,499.98,2020-05-10,16
9048,"2309271653193875842	",200375,8.08,2020-05-15,21
6010,"2305887585706181377	",205293,43.96,2020-05-10,23
6011,"2305889408450036645	",201455,115.72,2020-05-10,11
